@RELATION	A_then_B

@ATTRIBUTE 	a	NUMERIC
@ATTRIBUTE 	b	NUMERIC
@ATTRIBUTE 	classAttribute	{0, A, B}

@DATA
0.8179991814692769, 0.36193848973801934, A
0.34000329341828617, 0.2814544387009996, 0
0.2438434247421425, 0.5539410040676749, B
0.14248762096434653, 0.5683152033634468, B
0.11656590467192485, 0.6054358035298761, B
0.33511140024049, 0.681255939883235, B
0.7353468118227086, 0.3401649188921878, A
0.29993088496996445, 0.7724682718028811, B
0.0065205575450048014, 0.24736031869182273, 0
0.9086642666612635, 0.6367133310014692, A
0.08676918640760178, 0.2799564389027094, 0
0.9466589268598707, 0.2712839607084956, A
0.8701585062711658, 0.4930823812033456, A
0.8819369876076435, 0.07008517361780486, A
0.39985757925380194, 0.9642703375180972, B
0.40830503046080635, 0.8984451371800545, B
0.42698458302651676, 0.8049812727219405, B
0.3487399942862509, 0.3040584447095056, 0
0.7618729824304957, 0.9724626698644215, A
0.44374001520048134, 0.1595022082961609, 0
0.7671537560083276, 0.02161728586643008, A
0.26905556357571647, 0.10305503798114568, 0
0.3274012811238872, 0.8984758886349399, B
0.02819249910059851, 0.2470870905633915, 0
0.8966913816315868, 0.3700312959609716, A
0.2473057230357395, 0.7570797911482604, B
0.7732721442134777, 0.7096043862113723, A
0.4635783477215636, 0.06937163374055855, 0
0.5796496700963863, 0.8125779468173311, A
0.842907650949563, 0.7120161986795852, A
0.03674196279205011, 0.004246887960500878, 0
0.28869622245159576, 0.9206773830941478, B
0.5123563883057862, 0.4196988251780227, A
0.01077295766399744, 0.5002761967276779, B
0.4970973318582307, 0.9850519614326289, B
0.7119447445490859, 0.6731419436397036, A
0.11491211096116494, 0.7100418829589171, B
0.5194071935129354, 0.9757102020867543, A
0.01083521650792707, 0.21386289501256994, 0
0.5392181659791736, 0.6183490464920489, A
0.47509217047457875, 0.14933319134127776, 0
0.44426551510307477, 0.10668354603837227, 0
0.4605757986646172, 0.4648679052758984, 0
0.8196362497179069, 0.3378281992773, A
0.22980974318500402, 0.24940736780821382, 0
0.08402105641346613, 0.8312258052987584, B
0.7278647789741378, 0.2423625002958355, A
0.6817651537074062, 0.2313301043081497, A
0.41929620016624636, 0.9588031997597654, B
0.8974021227521194, 0.7281590591697065, A
0.2500208542324641, 0.7795295781738946, B
0.08298504348713909, 0.5817843001700861, B
0.599154988750036, 0.28633003839180515, A
0.3082545230532857, 0.5081114335458069, B
0.5711850183122604, 0.5846440656879162, A
0.44466110102485823, 0.2858452029694397, 0
0.7454452103049956, 0.3490120601676818, A
0.4764850915034248, 0.5783221024409708, B
0.5477276528258533, 0.8511080861125494, A
0.3957738708391444, 0.6289326676147983, B
0.737951450967643, 0.28581593231488434, A
0.3825431386625665, 0.1851440853352655, 0
0.11816988412705176, 0.2977227980041389, 0
0.09766543957375451, 0.7336735359553263, B
0.4567955614795399, 0.7285685400913967, B
0.8230952944732108, 0.8881510482579247, A
0.7977752101423704, 0.2556035422055841, A
0.8725574869732643, 0.5606502697957862, A
0.7775473824110014, 0.7714709008498914, A
0.16555089310540927, 0.36975430534652454, 0
0.30796798539278825, 0.06814408868584088, 0
0.10849768206846289, 0.5903629344461232, B
0.9999898799574787, 0.6306143787520455, A
0.9590933843819094, 0.8342364448650211, A
7.346112344075451E-4, 0.12043655341441051, 0
0.6633904550704096, 0.5653108617934078, A
0.495695561929164, 0.43490591375699683, 0
0.7498744821477547, 0.5001075305514836, A
0.9881640122285633, 0.06455312706277161, A
0.24076846231941673, 0.9211001765976116, B
0.6095700787041797, 0.8398078348438385, A
0.6980272272322148, 0.9396904885427333, A
0.1372835064400697, 0.05709585045697274, 0
0.45996115476747934, 0.7854834479437862, B
0.10051934977468135, 0.4052990232462347, 0
0.8441539377599597, 0.26984162329614025, A
0.3403463301991885, 0.07542069033205201, 0
0.593316521471256, 0.6742376719038621, A
0.6563965304381701, 0.9294636438595681, A
0.12294570874709132, 0.4477126566889532, 0
0.7207269772800693, 0.6289422471700478, A
0.193132157803801, 0.26278701870399046, 0
0.26838495809766494, 0.17911326437496566, 0
0.47158944118952695, 0.1754606136950233, 0
0.6845808738015678, 0.4319252220123969, A
0.08095228865569681, 0.8624762896803239, B
0.4999734597782589, 0.7088492135999622, B
0.630618637896255, 0.16781161354316976, A
0.9784243476375163, 0.8541689218744213, A
0.421886620662304, 0.4804015992755464, 0
