@RELATION	A_then_B

@ATTRIBUTE 	a	NUMERIC
@ATTRIBUTE 	b	NUMERIC
@ATTRIBUTE 	classAttribute	{0, A, B}

@DATA
0.9745428202246877, 0.22822423411932635, A
0.2665649176505831, 0.14627450617883686, 0
0.23678712915549005, 0.7004799361482801, B
0.9293325952919643, 0.13031497710884077, A
0.5795296458654375, 0.20883754811799626, A
0.6235550447510995, 0.7677749484066723, A
0.8007641032005646, 0.9524422435097047, A
0.7277089634889761, 0.7438970403394527, A
0.6263009107386117, 0.9942503702560824, A
0.08149412279140777, 0.3546779738332848, 0
0.8145736653652587, 0.5080444244966202, A
0.7180685777291996, 0.8509202632687182, A
0.49204902600849854, 0.5830241831434378, B
0.5368019879400284, 0.2637646240894145, A
0.6344313084787817, 0.5717221418204025, A
0.935743206787179, 0.8678612836660939, A
0.8559239968205921, 0.4093747644049711, A
0.3731923583150307, 0.7088467176802008, B
0.5721303367868877, 0.6815130359022815, A
0.934214172245515, 0.29854971863072755, A
0.1617456310070039, 0.47141935724341943, 0
0.2406235888697752, 0.6643588068533242, B
0.9680141384800943, 0.18023009760386088, A
0.4619207653112357, 0.4284403573593968, 0
0.8529937422015802, 0.5798463472568479, A
0.7598474532240632, 0.4880055687204232, A
0.5459920115368078, 0.33244789307752465, A
0.23068225739901993, 0.1695808774535209, 0
0.21210732454541847, 0.09028846599806861, 0
0.2970874073898693, 0.43824554029159923, 0
0.507629492122371, 0.07558308031908512, A
0.5452651997116682, 0.8570568754562036, A
0.8861240226154735, 0.7326809180174922, A
0.20337746624057484, 0.5123923939301619, B
0.07234495807420616, 0.6433504372128951, B
0.8136267123957145, 0.04769490334963378, A
0.43069137294584714, 0.4008855785364762, 0
0.16309293160603866, 0.28111532598910083, 0
0.4207430469321357, 0.5498755351779713, B
0.2073654659531532, 0.6218053240555466, B
0.45448064158555135, 0.015862546733972582, 0
0.5462043636127439, 0.6451195688719245, A
0.24811690691321175, 0.6727455985803182, B
0.9919114056644616, 0.7387458490324238, A
0.1960348905245327, 0.8256704327615374, B
0.9087858329856826, 0.6897882342008989, A
0.38514991714768754, 0.4232792891392305, 0
0.29598545231731643, 0.44708708672439823, 0
0.6150823731032292, 0.7555762685887356, A
0.036308927887602316, 0.06356695182074557, 0
0.19284844109004395, 0.24229736527469137, 0
0.3398604907665046, 1.6146414443996004E-4, 0
0.3303464218508688, 0.6715568305759337, B
0.1742535455616956, 0.5558723260563162, B
0.6887367337094419, 0.909674650149844, A
0.3919549019711688, 0.1777766938845975, 0
0.9858833088473928, 0.6704720180073547, A
0.3405669349027779, 0.8003057559086901, B
0.6113454844171293, 0.4059554446201685, A
0.9732898531773396, 0.1648749625713567, A
0.8779789216792476, 0.7601921127342925, A
0.8645020574759349, 0.27895342454137306, A
0.8800247512567231, 0.31431273688695116, A
0.07934154973783214, 0.7879193036315325, B
0.9246362342728268, 0.5429597504258731, A
0.5463666362501388, 0.053554131400916694, A
0.15711322280031104, 0.0011332631102970447, 0
0.4388198793042942, 0.15978817392456623, 0
0.30968384198110144, 0.765267988993005, B
0.08271402662104066, 0.8993160032916331, B
0.4694943472094574, 0.06350907625307378, 0
0.07890442091548777, 0.03395954064444884, 0
0.3835376072624471, 0.8475358932787742, B
0.6515073758479839, 0.7671634671760807, A
0.0965711829476702, 0.7819171782221374, B
0.7164694210799427, 0.4187659525325593, A
0.6526464825393282, 0.7568624925897035, A
0.801787974511449, 0.7501954241634505, A
0.18169074157141252, 0.5663684611740978, B
0.7448285231125495, 0.25250143241806366, A
0.9396533868346942, 0.8361409548442243, A
0.04237952688629565, 0.9801363874371358, B
0.7740495206240229, 0.6343069989619112, A
0.8355310827912301, 0.19016182158935213, A
0.0463028509742619, 0.4528133943285271, 0
0.7741589681655295, 0.1295613075167802, A
0.25811097470788646, 0.40854115065639585, 0
0.4247406703287374, 0.802599658882323, B
0.5011264197112452, 0.5805485517169092, A
0.4604257267933134, 0.44567576564969913, 0
0.377566674913285, 0.37348767358114954, 0
0.603727658780948, 0.7388748003058957, A
0.22393726479138654, 0.6771226515880785, B
0.17990027590878832, 0.4914323853868392, 0
0.3108720462402986, 0.3780100470246448, 0
0.18300659574424671, 0.652582152663204, B
0.18916493025962766, 0.4717854451265311, 0
0.9568832835635563, 0.019765105885269474, A
0.5053881277183848, 0.6231322711232079, A
0.9496499529895632, 0.9429376152301439, A
